,0,1
302,26145590,2818527
303,2614570,95417932
304,26145220,81135450
305,26145810,9654969
306,26145350,46192490
307,26057180,3268281
308,2605760,34466477
309,2605790,90622384
310,2607960,91491661
311,26079110,88646665
312,26079130,90872165
313,26055320,2290376
314,26055130,9636287
315,26055370,3767
316,26055120,10280841
317,26139100,6830956
318,26139490,1880526
319,26139500,883858
320,26139970,8537788
321,26139180,3061313
322,26139210,2015102
323,26139700,3600411
324,26139740,21372496
325,2613950,11220118
326,261391110,0
327,26139550,1688434
328,26139430,11157317
329,26139460,1583694
330,26139960,2245477
331,26139780,1905098
332,2614560,94941296
333,26145720,13126622
334,26145540,984355
335,26145880,22215707
336,26145320,92717188
337,26145900,5711547
338,26145180,6339121
339,26145580,4083172
340,26145660,2568659
341,26145650,1291442
342,26145690,7842567
343,26145620,2839990
344,26145450,3507531
345,26145280,43800224
346,2605720,4272363
347,26057160,89343344
348,26057140,92101181
349,2607940,80724035
350,2607930,93259423
351,26055140,7797717
352,26139350,3538985
353,26139590,2623018
354,26139920,47266578
355,2613910,18507382
356,261391100,32323527
357,261391090,24368465
358,2613980,31227568
359,26139930,18719864
360,26139630,7522470
361,26097130,384889612
362,26097170,3690
363,26097140,143575128
364,26097110,251404540
365,26097160,251472669
366,2609710,815759
367,2609750,204541916
368,26097150,6941468
369,2609730,90946606
370,26097120,329475153
371,26145670,3456293
372,26145400,1546947
373,26145420,2372562
374,26145550,858337
375,26145470,1279169
376,26145480,663383
377,26145490,1904144
378,26145170,14723740
379,26145800,12355457
380,26145790,60841817
381,26145240,5012991
382,26145110,11186118
383,26145760,66277166
384,26145640,1276644
385,26145460,3098535
386,2614530,26924136
387,26145740,89655362
388,26145910,9270538
389,2605740,83315283
390,26057130,89066495
391,26057150,92218647
392,26079100,92536218
393,26139220,7189458
394,26139850,3960109
395,26139860,6663693
396,26139820,10100893
397,26139760,22546784
398,26139160,1008824
399,26139660,16193719
400,26139690,2964923
401,26139310,5473855
402,26139120,46725966
403,26097100,11275026
404,2609790,178106533
405,2609780,204528267
406,2609770,202342899
407,2609760,146047815
408,26145380,1945644
409,26145830,21330203
410,26145210,7861276
411,26145770,58980484
412,26145190,2326898
413,26145840,4462948
414,2614510,93330497
415,26145340,49067963
416,26145130,65133125
417,26145310,62375578
418,26057220,91303805
419,2605710,3105134
420,26149220,5182211
421,2614910,91372518
422,26139580,1349171
423,261391040,3343318
424,26139400,5153359
425,2613940,16134737
426,2613920,10763716
427,26139840,5751666
428,2609740,239526320
429,26145230,2667487
430,2614550,92328243
431,26145510,1484645
432,2614540,38539686
433,26145300,48104120
434,26145500,2563738
435,26145630,5435658
436,26109170,209142901
437,2610980,183206049
438,2610960,184847110
439,26077490,5938424
440,26077370,6919719
441,26077480,598700
442,26077660,631882
443,26055100,22677786
444,2614960,49946587
445,2614970,86099611
446,261391010,29569083
447,26139480,1613661
448,26139870,101761909
449,26139900,26847806
450,26139600,6243985
451,26145820,20525823
452,26145750,4845871
453,2614520,26496158
454,26145860,7207681
455,2610920,93092387
456,26109180,420813174
457,2610970,183609679
458,26077770,12380044
459,260771070,8940939
